feature,importance
fan_sum,0.6883742941707193
att_million,0.6284716854066066
elo_sum,0.6171525339391968
mv_sum,0.5707475493655649
fan_base_index_a,0.4944818467637643
fan_base_index_b,0.48977920832951344
elo_b,0.4573175228790639
strength_rank_b,0.45114796886726105
market_value_musd_b,0.4330717588816322
elo_a,0.42828871186718
star_index_b,0.42812701342949006
style_attack_b,0.4275543899908154
star_index_a,0.4208019834595979
strength_rank_a,0.41781501690930944
market_value_musd_a,0.38206585714763686
style_defense_b,0.37484217279232523
comp_World Cup,0.372039096539994
style_defense_a,0.36756954347921955
style_attack_a,0.3504413118558975
entropy,0.3052725469113989
rank_gap,0.3034789867195069
elo_gap,0.3014243112726054
p_draw,0.30056430363847886
suspense,0.2987266509235741
comp_World Cup Qualifier,0.07236038672034473
comp_Friendly,0.06801337743142802
stage_Friendly,0.06801337743142802
comp_Continental Cup,0.06005084719961689
p_a,0.0579370500040942
stage_Final,0.057155314699992
stage_Semifinal,0.05417992177973735
tz_Asia/Oceania,0.0455548174475513
tz_Europe/Africa,0.04160442945666554
stage_Round of 16,0.034327264260003654
stage_Qualifier,0.029661755600971413
stage_Quarterfinal,0.02288950444415634
neutral,0.01940808330086269
stage_Group,0.012984730181962384
p_b,0.010233949686046443
tz_Americas,0.004319696243588485
comp_Nations League,0.0034942038659008363
