match_id,static_nv,dynamic_nv,improvement_rate,b,s,t,delta
GA05,0.212271,0.259121,0.2207,3,2,2,-0.15
GA06,0.263112,0.314316,0.1946,3,2,3,-0.15
GB05,0.377051,0.442182,0.1727,3,3,3,-0.15
GB06,0.292049,0.348844,0.1945,3,3,3,-0.15
GC05,0.187974,0.237621,0.2641,3,2,2,-0.15
GC06,0.087468,0.116142,0.3278,2,1,1,-0.15
GD05,0.534687,0.595522,0.1138,3,3,3,-0.0477
GD06,0.419372,0.458681,0.0937,3,3,1,-0.017
GE05,0.53374,0.609783,0.1425,3,3,3,-0.1142
GE06,0.228866,0.278143,0.2153,3,2,3,-0.15
GF05,0.054964,0.094838,0.7254,3,2,1,-0.15
GF06,0.441078,0.51572,0.1692,3,4,3,-0.15
GG05,0.001989,0.038849,18.5278,3,2,1,-0.15
GG06,0.393308,0.462426,0.1757,3,3,3,-0.15
GH05,0.600297,0.690375,0.1501,3,4,3,-0.15
GH06,0.253932,0.304963,0.201,3,3,3,-0.15
GI05,0.3005,0.359859,0.1975,3,3,3,-0.15
GI06,0.195428,0.241742,0.237,3,2,2,-0.15
GJ05,-0.008757,0.01677,2.9151,2,1,1,-0.15
GJ06,0.309277,0.367796,0.1892,3,3,3,-0.15
GK05,0.549372,0.627041,0.1414,3,3,3,-0.1244
GK06,0.317321,0.364551,0.1488,3,2,1,-0.1244
GL05,-0.092033,-0.062547,0.3204,3,1,1,-0.15
GL06,0.211413,0.260213,0.2308,3,2,2,-0.15
