aircraft_type,flight_no,stop_order,facility_id,refuel
T3,1,0,A01,0
T3,1,1,F001,0
T3,1,2,A01,0
T3,2,0,A01,0
T3,2,1,F001,0
T3,2,2,A01,0
T3,3,0,A01,0
T3,3,1,F001,0
T3,3,2,A01,0
T3,4,0,A01,0
T3,4,1,F002,0
T3,4,2,A01,0
T3,5,0,A01,0
T3,5,1,F002,0
T3,5,2,A01,0
T3,6,0,A01,0
T3,6,1,F002,0
T3,6,2,A01,0
T2,7,0,A01,0
T2,7,1,F003,0
T2,7,2,A01,0
T2,8,0,A01,0
T2,8,1,F003,0
T2,8,2,A01,0
T2,9,0,A01,0
T2,9,1,F004,0
T2,9,2,A01,0
T2,10,0,A01,0
T2,10,1,F004,0
T2,10,2,A01,0
T2,11,0,A01,0
T2,11,1,F005,0
T2,11,2,A01,0
T2,12,0,A01,0
T2,12,1,F005,0
T2,12,2,A01,0
T3,13,0,A01,0
T3,13,1,F006,0
T3,13,2,A01,0
T3,14,0,A01,0
T3,14,1,F006,0
T3,14,2,A01,0
T3,15,0,A01,0
T3,15,1,F007,0
T3,15,2,A01,0
T3,16,0,A01,0
T3,16,1,F007,0
T3,16,2,A01,0
T3,17,0,A01,0
T3,17,1,F008,0
T3,17,2,A01,0
T3,18,0,A01,0
T3,18,1,F008,0
T3,18,2,A01,0
T2,19,0,A01,0
T2,19,1,F009,0
T2,19,2,A01,0
T2,20,0,A01,0
T2,20,1,F009,0
T2,20,2,A01,0
T3,21,0,A01,0
T3,21,1,F010,0
T3,21,2,A01,0
T3,22,0,A01,0
T3,22,1,F010,0
T3,22,2,A01,0
T2,23,0,A01,0
T2,23,1,F011,1
T2,23,2,A01,0
T2,24,0,A01,0
T2,24,1,F011,1
T2,24,2,A01,0
T3,25,0,A01,0
T3,25,1,F012,0
T3,25,2,A01,0
T3,26,0,A01,0
T3,26,1,F012,0
T3,26,2,A01,0
T2,27,0,A01,0
T2,27,1,F006,1
T2,27,2,F013,0
T2,27,3,A01,0
T2,28,0,A01,0
T2,28,1,F006,1
T2,28,2,F013,0
T2,28,3,A01,0
T2,29,0,A01,0
T2,29,1,F014,0
T2,29,2,A01,0
T2,30,0,A01,0
T2,30,1,F014,0
T2,30,2,A01,0
T2,31,0,A01,0
T2,31,1,F015,0
T2,31,2,A01,0
T2,32,0,A01,0
T2,32,1,F015,0
T2,32,2,A01,0
T2,33,0,A01,0
T2,33,1,F016,0
T2,33,2,A01,0
T2,34,0,A01,0
T2,34,1,F016,0
T2,34,2,A01,0
T2,35,0,A01,0
T2,35,1,F017,0
T2,35,2,A01,0
T2,36,0,A01,0
T2,36,1,F017,0
T2,36,2,A01,0
T3,37,0,A01,0
T3,37,1,F018,0
T3,37,2,A01,0
T3,38,0,A01,0
T3,38,1,F018,0
T3,38,2,A01,0
T3,39,0,A01,0
T3,39,1,F019,0
T3,39,2,A01,0
T3,40,0,A01,0
T3,40,1,F019,0
T3,40,2,A01,0
T3,41,0,A01,0
T3,41,1,F019,0
T3,41,2,A01,0
T3,42,0,A01,0
T3,42,1,F020,0
T3,42,2,A01,0
T2,43,0,A01,0
T2,43,1,F020,0
T2,43,2,A01,0
T2,44,0,A01,0
T2,44,1,F020,0
T2,44,2,A01,0
T3,45,0,A01,0
T3,45,1,F021,0
T3,45,2,A01,0
T3,46,0,A01,0
T3,46,1,F021,0
T3,46,2,A01,0
T3,47,0,A01,0
T3,47,1,F021,0
T3,47,2,A01,0
T2,48,0,A01,0
T2,48,1,F022,0
T2,48,2,A01,0
T2,49,0,A01,0
T2,49,1,F022,0
T2,49,2,A01,0
T2,50,0,A01,0
T2,50,1,F022,0
T2,50,2,A01,0
T2,51,0,A02,0
T2,51,1,F024,1
T2,51,2,F023,0
T2,51,3,A02,0
T2,52,0,A02,0
T2,52,1,F024,1
T2,52,2,F023,0
T2,52,3,A02,0
T2,53,0,A01,0
T2,53,1,F024,1
T2,53,2,A01,0
T2,54,0,A01,0
T2,54,1,F024,1
T2,54,2,A01,0
T3,55,0,A01,0
T3,55,1,F025,0
T3,55,2,A01,0
T3,56,0,A01,0
T3,56,1,F025,0
T3,56,2,A01,0
T3,57,0,A01,0
T3,57,1,F026,0
T3,57,2,A01,0
T3,58,0,A01,0
T3,58,1,F026,0
T3,58,2,A01,0
T3,59,0,A01,0
T3,59,1,F027,0
T3,59,2,A01,0
T3,60,0,A01,0
T3,60,1,F027,0
