battery_id,policy,C1,Q1,C2,n_cycles,SOH_150,SOH_200,slope_SOH,last_SOH,is_test,is_new
1,3_6C-80PER_3_6C,3.6,80.0,3.6,200,1.003396261025142,0.9971576252006654,-8.118575230931176e-05,0.9971576252006654,0,0
2,3_6C-80PER_3_6C,3.6,80.0,3.6,150,0.995243813442782,0.995243813442782,-8.126861974542397e-06,0.995243813442782,1,0
3,3_6C-80PER_3_6C,3.6,80.0,3.6,200,0.996124326607101,0.995110203680242,-1.1607988703155133e-05,0.995110203680242,0,0
4,80PER_3_6C,3.6,80.0,3.6,200,0.977270365911175,0.96767101584707,-0.0001613170863475043,0.96767101584707,0,0
5,80PER_3_6C,3.6,80.0,3.6,150,0.996307250141854,0.996307250141854,-1.4648701147809445e-05,0.996307250141854,1,0
6,80PER_3_6C,3.6,80.0,3.6,200,0.996165860585801,0.993831561293375,-2.6271911483390124e-05,0.993831561293375,0,0
7,4_8C_80PER_4_8C,4.8,80.0,4.8,200,0.994693146551961,0.989658449706039,-4.281098898168234e-05,0.989658449706039,0,0
8,4_8C_80PER_4_8C,4.8,80.0,4.8,200,0.989687086263349,0.981435539975442,-8.986232031152458e-05,0.981435539975442,0,0
9,4_8C_80PER_4_8C,4.8,80.0,4.8,150,0.988996368956579,0.988996368956579,-6.733893827926154e-05,0.988996368956579,1,0
10,5C_67PER_4C_NEWSTRUCTURE,5.0,67.0,4.0,150,0.997163961472924,0.997163961472924,-1.3780221951322656e-05,0.997163961472924,1,1
11,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54.0,4.0,150,0.996765143698668,0.996765143698668,-1.9349802453797005e-05,0.996765143698668,1,1
12,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19.0,4.6,200,0.996427994673131,0.99419935051627,-2.657964058512129e-05,0.99419935051627,0,1
13,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36.0,4.3,200,0.997017918336173,0.995155786646735,-2.200151758280843e-05,0.995155786646735,0,1
14,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19.0,4.6,150,0.997543986831153,0.997543986831153,-1.2874625437234262e-05,0.997543986831153,1,1
15,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36.0,4.3,200,0.996200533216553,0.993561365536815,-3.0152613600440523e-05,0.993561365536815,0,1
16,3_7C_31PER_5_9C_NEWSTRUCTURE,3.7,31.0,5.9,150,0.972184136045023,0.972184136045023,-0.00019033387559314527,0.972184136045023,1,1
17,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80.0,4.8,200,0.99823767250371,0.997381893495213,-1.0158551307112287e-05,0.997381893495213,0,1
18,5C_67PER_4C_NEWSTRUCTURE,5.0,67.0,4.0,200,0.996899227707608,0.995022140620544,-2.3248104406657136e-05,0.995022140620544,0,1
19,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54.0,4.0,200,0.998351338451851,0.997276849461235,-1.1160774551800974e-05,0.997276849461235,0,1
20,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80.0,4.8,200,0.997503208448294,0.995832331769141,-1.924640418478084e-05,0.995832331769141,0,1
21,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19.0,4.6,200,0.995676727769333,0.993268710739944,-3.401913302402675e-05,0.993268710739944,0,1
22,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36.0,4.3,200,0.99790275808469,0.996730026565937,-1.5070366946272082e-05,0.996730026565937,0,1
23,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19.0,4.6,200,0.995772255030105,0.993248052367296,-3.300302148827504e-05,0.993248052367296,0,1
24,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36.0,4.3,150,0.997516660261313,0.997516660261313,-8.930677331189762e-06,0.997516660261313,1,1
25,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80.0,4.8,150,0.997304094302957,0.997304094302957,-1.522835446077439e-05,0.997304094302957,1,1
26,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54.0,4.0,200,0.995957929041739,0.994394257149565,-2.106598843373719e-05,0.994394257149565,0,1
27,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19.0,4.6,200,0.995656278564819,0.99349054780724,-3.264834429472638e-05,0.99349054780724,0,1
28,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36.0,4.3,200,0.995663156438166,0.993623156799467,-3.288914145771325e-05,0.993623156799467,0,1
29,5C_67PER_4C_NEWSTRUCTURE,5.0,67.0,4.0,200,0.997093808330202,0.995191763327198,-2.285145384727927e-05,0.995191763327198,0,1
30,3_7C_31PER_5_9C_NEWSTRUCTURE,3.7,31.0,5.9,200,0.978803668056615,0.97151753626637,-0.00014946410452649,0.97151753626637,0,1
31,5C_67PER_4C_NEWSTRUCTURE,5.0,67.0,4.0,200,0.997502841944504,0.995305927750631,-1.745181655001052e-05,0.995305927750631,0,1
32,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54.0,4.0,200,0.997524427001968,0.995780906181823,-1.64737208462904e-05,0.995780906181823,0,1
33,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19.0,4.6,200,0.997265152427079,0.995231116661454,-2.026242265850209e-05,0.995231116661454,0,1
34,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36.0,4.3,200,0.996519741696342,0.994186049242587,-2.630725829187443e-05,0.994186049242587,0,1
35,3_7C_31PER_5_9C_NEWSTRUCTURE,3.7,31.0,5.9,200,0.971136559993198,0.960298209791312,-0.00021010124182162552,0.960298209791312,0,1
36,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54.0,4.0,200,0.997327955187339,0.995450933556695,-2.0459696837883866e-05,0.995450933556695,0,1
37,5C_67PER_4C_NEWSTRUCTURE,5.0,67.0,4.0,200,0.996525954440067,0.994839326027898,-2.6243682016458255e-05,0.994839326027898,0,1
38,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54.0,4.0,200,0.995720615692459,0.993737308885713,-3.223985455110256e-05,0.993737308885713,0,1
39,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19.0,4.6,200,0.99638228628484,0.994542376231639,-2.740103412885385e-05,0.994542376231639,0,1
40,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36.0,4.3,200,0.995339149888818,0.99304068772836,-3.459640182712576e-05,0.99304068772836,0,1
41,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80.0,4.8,200,0.951606657543837,0.949706538886439,-2.4702199825852366e-05,0.949706538886439,0,1
42,5C_67PER_4C_NEWSTRUCTURE,5.0,67.0,4.0,200,0.997528799058338,0.996213508591659,-1.7951603746619134e-05,0.996213508591659,0,1
43,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54.0,4.0,200,0.996289785381146,0.994707770896461,-2.5509513799730158e-05,0.994707770896461,0,1
44,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19.0,4.6,200,0.996298809917153,0.993929397786401,-2.8716598957900998e-05,0.993929397786401,0,1
45,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36.0,4.3,200,0.998204295108144,0.996571717188187,-1.239346105974901e-05,0.996571717188187,0,1
46,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80.0,4.8,200,0.998228565073363,0.996961715009087,-1.29470199369868e-05,0.996961715009087,0,1
47,5C_67PER_4C_NEWSTRUCTURE,5.0,67.0,4.0,200,0.99824165171326,0.996565081326037,-1.3910333327280747e-05,0.996565081326037,0,1
48,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54.0,4.0,200,0.998173246066761,0.996938113421402,-1.1952002875561424e-05,0.996938113421402,0,1
49,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80.0,4.8,200,0.998227184259737,0.996960974577406,-1.1902421606277378e-05,0.996960974577406,0,1
