battery_id,policy,life_linear,life_exp,life_ensemble,life_mean,n_models,boot_ci_lo,boot_ci_hi,boot_median
1,3_6C-80PER_3_6C,2635.1672792166078,2839.7856616317763,2737.476470424192,2737.476470424192,2,1693.0341614961785,5550.899932467654,2667.1450479573755
2,3_6C-80PER_3_6C,24260.81260322598,27379.963366014425,25820.387984620203,25820.387984620203,2,16138.617310430707,51046.49454604363,23838.749634357708
3,3_6C-80PER_3_6C,17056.430040552215,19161.99395566379,18109.211998108003,18109.211998108003,2,14119.972014778126,21647.63905031201,16917.432630331867
4,80PER_3_6C,1249.533715331808,1362.0062794407438,1305.769997386276,1305.769997386276,2,1233.2186433385243,1266.2472445982944,1249.462625057155
5,80PER_3_6C,13609.905471761711,15203.33974008079,14406.62260592125,14406.62260592125,2,10872.917282800778,17754.646372928077,13543.437167172418
6,80PER_3_6C,7613.428180811376,8467.921545596693,8040.674863204034,8040.674863204034,2,7053.125578267737,8252.56826277169,7606.316644697456
7,4_8C_80PER_4_8C,4690.327518488329,5188.3061914386235,4939.316854963476,4939.316854963476,2,4220.196463713835,5255.678938778883,4687.933324351501
8,4_8C_80PER_4_8C,2258.0832971271834,2464.189131906591,2361.136214516887,2361.136214516887,2,2137.712144800044,2400.3726908958542,2258.0864533356525
9,4_8C_80PER_4_8C,2989.76427605915,3298.053223050971,3143.9087495550602,3143.9087495550602,2,2741.9762402190545,3288.1025015057,2987.4674942354122
10,5C_67PER_4C_NEWSTRUCTURE,14489.136422597585,16168.565010910257,15328.850716753921,15328.850716753921,2,11966.319002344437,17603.538214884626,14361.81767463918
11,5_3C_54PER_4C_NEWSTRUCTURE,10333.226893291107,11513.024258402846,10923.125575846976,10923.125575846976,2,9335.575661203527,11547.254738463638,10300.978659502325
12,5_6C_19PER_4_6C_NEWSTRUCTURE,7534.562147631359,8373.182218822743,7953.872183227051,7953.872183227051,2,7202.484593975791,7906.06776184463,7526.196237487277
13,5_6C_36PER_4_3C_NEWSTRUCTURE,9101.790592954378,10119.913797627802,9610.852195291089,9610.852195291089,2,8617.10008253052,9712.242627387168,9089.020161804288
14,5_6C_19PER_4_6C_NEWSTRUCTURE,15525.073376144983,17309.98497418715,16417.529175166066,16417.529175166066,2,13430.670381750393,18269.129688206063,15474.587664239454
15,5_6C_36PER_4_3C_NEWSTRUCTURE,6654.14714132661,7379.859657945804,7017.003399636207,7017.003399636207,2,6285.781882540683,7093.833769662405,6628.011535502721
16,3_7C_31PER_5_9C_NEWSTRUCTURE,1055.8001826590155,1156.481762051196,1106.1409723551058,1106.1409723551058,2,1050.8132203153402,1061.117200544,1055.6982307105277
17,4_8C_80PER_4_8C_NEWSTRUCTURE,19665.61692290591,21936.398746780473,20801.007834843193,20801.007834843193,2,17574.735519278358,22377.968925396344,19560.131773786074
18,5C_67PER_4C_NEWSTRUCTURE,8620.6693952024,9576.591107961318,9098.630251581859,9098.630251581859,2,7918.280539065173,9433.164996477311,8618.34368384801
19,5_3C_54PER_4C_NEWSTRUCTURE,17922.055657806064,19968.681669847556,18945.368663826812,18945.368663826812,2,15693.138632395245,21032.869954765618,17840.094318176587
20,4_8C_80PER_4_8C_NEWSTRUCTURE,10407.753109402656,11571.734331956392,10989.743720679524,10989.743720679524,2,9516.289641032416,11341.522628451325,10391.675259570171
21,5_6C_19PER_4_6C_NEWSTRUCTURE,5901.972774755888,6539.650441272161,6220.811608014024,6220.811608014024,2,5595.959557279815,6209.955674651177,5898.611315315501
22,5_6C_36PER_4_3C_NEWSTRUCTURE,13281.176285602409,14784.120085544617,14032.648185573513,14032.648185573513,2,12257.040147508853,14450.58016967373,13262.012662070723
