battery_id,policy,slope_all,slope_early,slope_late,life_all,life_late,life_weighted,boot_ci_lo,boot_ci_hi
1,3_6C-80PER_3_6C,-8.118575230931176e-05,-0.0004804858229190602,-4.345750586661473e-05,2635.1672792166078,4804.071162177043,2414.363438714221,1493.4378148014257,4731.486076475081
2,3_6C-80PER_3_6C,-8.126861974542397e-06,5.891183074688771e-05,-2.156751595892145e-05,24260.81260322598,9206.962690294664,14663.798175754338,11840.091627998972,22752.655823901863
3,3_6C-80PER_3_6C,-1.1607988703155133e-05,5.576808268482437e-05,-2.0826734020418642e-05,17056.430040552215,9568.176802870563,15108.386653783635,12421.575085330736,21331.75038285263
4,80PER_3_6C,-0.0001613170863475043,-0.00011878797148655403,-0.00017299956824965346,1249.533715331808,1174.7243434856964,1210.752242901681,1176.5002627782665,1228.3815991673307
5,80PER_3_6C,-1.4648701147809445e-05,4.651035681193075e-05,-2.906458548699917e-05,13609.905471761711,6911.899214524506,9325.671824707188,7728.114096671269,10889.9024133303
6,80PER_3_6C,-2.6271911483390124e-05,2.8449324312277464e-05,-3.4911608371643866e-05,7613.428180811376,5763.916475226094,7031.545223702529,6377.467744372396,7911.928960215252
7,4_8C_80PER_4_8C,-4.281098898168234e-05,5.982951297479067e-05,-6.551773015152373e-05,4690.327518488329,3113.6875181579794,3837.329335062229,3422.713434065406,4367.298684272076
8,4_8C_80PER_4_8C,-8.986232031152458e-05,3.53769104013732e-05,-0.00012029297797993149,2258.0832971271834,1722.6214541100046,1970.1370836073565,1831.916342313232,2132.2626008219413
9,4_8C_80PER_4_8C,-6.733893827926154e-05,3.7954818981716384e-05,-0.00010244777387945024,2989.76427605915,2001.9943684161256,2312.081292248969,2136.8531116742674,2541.1428184146953
10,5C_67PER_4C_NEWSTRUCTURE,-1.3780221951322656e-05,3.317104540455494e-05,-2.3243558906521773e-05,14489.136422597585,8632.694142124037,11386.580794728514,10350.10629627535,12887.599674292787
11,5_3C_54PER_4C_NEWSTRUCTURE,-1.9349802453797005e-05,1.9108130412262787e-05,-2.5376273641142574e-05,10333.226893291107,7903.647476017138,9575.879958180794,9022.434928352215,10234.685579363304
12,5_6C_19PER_4_6C_NEWSTRUCTURE,-2.657964058512129e-05,8.411039699925899e-06,-3.0451471380129395e-05,7534.562147631359,6594.10411882712,7552.846593807627,7151.759895892714,7988.408944509647
13,5_6C_36PER_4_3C_NEWSTRUCTURE,-2.200151758280843e-05,1.8313452469844414e-05,-2.687740560535086e-05,9101.790592954378,7475.742495085081,8978.27726219353,8384.20087129985,9672.195756508041
14,5_6C_19PER_4_6C_NEWSTRUCTURE,-1.2874625437234262e-05,2.428739806036541e-05,-2.133088810268184e-05,15525.073376144983,9412.252965610829,11961.270673894567,11131.501513594272,13113.662132852654
15,5_6C_36PER_4_3C_NEWSTRUCTURE,-3.0152613600440523e-05,1.3482129348740246e-05,-3.7848090631314086e-05,6654.14714132661,5329.719428190751,6158.209899713084,5769.747409716348,6664.637520633065
16,3_7C_31PER_5_9C_NEWSTRUCTURE,-0.00019033387559314527,-0.0001797680034675419,-0.00019301399124879782,1055.8001826590155,1042.6135332018562,1049.5134159710044,1043.0264818383537,1056.8685667620825
17,4_8C_80PER_4_8C_NEWSTRUCTURE,-1.0158551307112287e-05,2.3178428936924906e-05,-1.420749818218483e-05,19665.61692290591,14100.659505324807,19121.21205901341,16886.48660643596,23380.90744099682
18,5C_67PER_4C_NEWSTRUCTURE,-2.3248104406657136e-05,3.598812606112487e-05,-3.2683000783979596e-05,8620.6693952024,6172.446637066124,7801.796572476359,7254.125894954184,8664.310353494408
19,5_3C_54PER_4C_NEWSTRUCTURE,-1.1160774551800974e-05,3.200164467715906e-05,-1.6705719813508874e-05,17922.055657806064,12019.470981415909,16948.45312724673,14693.130230408093,20921.04050418414
20,4_8C_80PER_4_8C_NEWSTRUCTURE,-1.924640418478084e-05,2.9723718768096582e-05,-2.70756697943815e-05,10407.753109402656,7438.67819859244,9400.89144815437,8661.756635860533,10372.263240883427
21,5_6C_19PER_4_6C_NEWSTRUCTURE,-3.401913302402675e-05,1.374335396221394e-05,-4.230779600688772e-05,5901.972774755888,4773.1740622320185,5494.632864947291,5213.655937363488,5905.095313362597
22,5_6C_36PER_4_3C_NEWSTRUCTURE,-1.5070366946272082e-05,2.1040947260470464e-05,-1.940177511121148e-05,13281.176285602409,10347.091114040517,13060.914672264887,11991.929336726762,14709.603674592285
23,5_6C_19PER_4_6C_NEWSTRUCTURE,-3.300302148827504e-05,3.039867301637002e-05,-4.312020033043364e-05,6081.235499829514,4687.23539318876,5640.9597323460275,5204.46069339478,6194.278859478475
24,5_6C_36PER_4_3C_NEWSTRUCTURE,-8.930677331189762e-06,4.8910297265516636e-05,-2.3870595452589132e-05,22350.878183821234,8428.596732599646,12106.20481347651,10573.688839936538,15713.642042057467
25,4_8C_80PER_4_8C_NEWSTRUCTURE,-1.522835446077439e-05,2.692984285773469e-05,-2.2995905223452765e-05,13127.22512629088,8728.268883925099,11137.969572725699,10550.967325001608,12390.739188534482
26,5_3C_54PER_4C_NEWSTRUCTURE,-2.106598843373719e-05,3.4567232345391954e-06,-2.857895689884248e-05,9453.984922329579,7006.0028547052425,7882.357911113581,7437.72507783542,8330.682264432293
27,5_6C_19PER_4_6C_NEWSTRUCTURE,-3.264834429472638e-05,-3.7995178751662996e-06,-3.546033112906422e-05,6139.144894909498,5663.187868640031,6214.622873717894,6019.568546609754,6469.171031605452
28,5_6C_36PER_4_3C_NEWSTRUCTURE,-3.288914145771325e-05,-4.778999783843719e-06,-3.563122712749485e-05,6097.24614951426,5638.57149360678,6169.432217311626,6010.537589985668,6422.997610531969
29,5C_67PER_4C_NEWSTRUCTURE,-2.285145384727927e-05,2.3990171477030772e-05,-3.056139822029317e-05,8772.53896616325,6594.754108169397,8017.284740258525,7400.070530944492,8834.550186169883
30,3_7C_31PER_5_9C_NEWSTRUCTURE,-0.00014946410452649,-0.00012314350356310014,-0.0001498778894415489,1346.9029641574182,1343.460756069235,1367.3972225113507,1358.3823825461282,1377.8610249726837
31,5C_67PER_4C_NEWSTRUCTURE,-1.745181655001052e-05,4.723277253537465e-05,-2.987052535706802e-05,11466.834798279788,6757.9522424433835,9091.418317279828,7984.8021759639205,10614.70475425329
32,5_3C_54PER_4C_NEWSTRUCTURE,-1.64737208462904e-05,4.457487227604056e-05,-2.692649421328833e-05,12147.518736874255,7486.316525231875,10175.380403889056,8890.698839997074,12019.472515118348
33,5_6C_19PER_4_6C_NEWSTRUCTURE,-2.026242265850209e-05,3.305335791198892e-05,-2.9388976457680393e-05,9884.921196465288,6858.760095351275,8696.048307996301,7787.451616693091,9861.51187388475
34,5_6C_36PER_4_3C_NEWSTRUCTURE,-2.630725829187443e-05,3.341528088456586e-05,-3.686177466706731e-05,7622.822531322857,5480.381394139996,6759.696749118177,6204.608439424572,7448.0472647427
35,3_7C_31PER_5_9C_NEWSTRUCTURE,-0.00021010124182162552,-0.00015035539643495945,-0.0002208335474990841,965.4205251417762,925.3245537309808,954.1879145907579,944.362756635214,967.7746481720218
36,5_3C_54PER_4C_NEWSTRUCTURE,-2.0459696837883866e-05,2.8567080985642423e-05,-2.8813974101667143e-05,9793.914977423085,6994.925287341342,8722.215140291977,7863.305250845421,9994.797116765649
37,5C_67PER_4C_NEWSTRUCTURE,-2.6243682016458255e-05,1.7243872688552957e-05,-3.282502938611139e-05,7641.31983806342,6137.2537373615705,7233.580971953315,6865.466226769339,7762.315993875747
38,5_3C_54PER_4C_NEWSTRUCTURE,-3.223985455110256e-05,9.698899987202128e-06,-3.7980502035096104e-05,6221.775439151822,5302.407697297808,6057.277678611579,5789.442141735869,6455.585535437451
39,5_6C_19PER_4_6C_NEWSTRUCTURE,-2.740103412885385e-05,5.785219114856513e-06,-3.178572146626746e-05,7316.597525352284,6326.481826640181,7168.687375519494,6854.648100613482,7606.026322940999
40,5_6C_36PER_4_3C_NEWSTRUCTURE,-3.459640182712576e-05,1.1260534843764362e-05,-4.093974510016148e-05,5796.033997979081,4919.549702353075,5632.007836520104,5350.183328770468,6084.754610187014
41,4_8C_80PER_4_8C_NEWSTRUCTURE,-2.4702199825852366e-05,4.5772885825821774e-05,-3.4788987029595026e-05,6289.056333708941,4506.012645069519,5850.3874399401975,5634.338886830512,6109.218612480186
42,5C_67PER_4C_NEWSTRUCTURE,-1.7951603746619134e-05,1.329888726612506e-05,-2.2460255611739855e-05,11153.596720361833,8942.624178938417,10627.440637534764,9934.165192045288,11744.889399649683
43,5_3C_54PER_4C_NEWSTRUCTURE,-2.5509513799730158e-05,3.931679297142887e-05,-3.399888313847594e-05,7851.451734321814,5925.674079804036,7542.89588486807,6963.2403805406975,8449.257548756306
44,5_6C_19PER_4_6C_NEWSTRUCTURE,-2.8716598957900998e-05,3.6313901342489066e-05,-3.8601044287646384e-05,6984.465193813763,5231.743612878151,6480.480041635759,5964.054503840269,7259.2973198904865
45,5_6C_36PER_4_3C_NEWSTRUCTURE,-1.239346105974901e-05,4.652325482855773e-05,-2.2498061523853185e-05,16141.09995516331,8954.583741288356,12895.948178784136,11070.698576010147,15989.92421576541
46,4_8C_80PER_4_8C_NEWSTRUCTURE,-1.29470199369868e-05,3.120810781237508e-05,-2.0071165039657692e-05,15459.663157497418,10022.017540994551,13444.903942088516,11818.562390268562,15880.386703202958
47,5C_67PER_4C_NEWSTRUCTURE,-1.3910333327280747e-05,2.6077480799900088e-05,-2.1753449193164263e-05,14393.383699027212,9254.64131657172,11848.440296855384,10380.546547412157,14204.548295142926
48,5_3C_54PER_4C_NEWSTRUCTURE,-1.1952002875561424e-05,4.311438234570412e-05,-1.933741375437404e-05,16730.381316434512,10393.772521596211,15330.880375090088,13279.165932412367,18733.49202150164
49,4_8C_80PER_4_8C_NEWSTRUCTURE,-1.1902421606277378e-05,2.2055260355222974e-05,-1.780386708878473e-05,16796.768541973935,11275.636136273755,14514.047226231287,13405.968387391575,16349.054775300128
