feature_set,model,r2_loo,rmse_loo,n_features
+is_new+E,bayesian_ridge,0.4447714188578613,0.5740995372150802,6
+is_new,bayesian_ridge,0.4440929405603903,0.5744501992377561,4
+is_new,ridge,0.44332531135200703,0.5748466797480302,4
+is_new+E,ridge,0.4412986676307614,0.5758921296518358,6
+is_new+E,lasso,0.43884908866548733,0.5771532241574754,6
+is_new,lasso,0.4372137682109576,0.5779935897526978,4
+is_new,gbr,0.43359030750808325,0.5798512904994981,4
+is_new+E,gbr,0.4329920248460709,0.5801574499962909,6
+is_new+E,rf,0.43020126672756964,0.5815834367854773,6
+is_new,rf,0.4278147298706074,0.5828001120106141,4
+is_new+E+IR+T,bayesian_ridge,0.4251055675608896,0.5841781932558067,8
+all,bayesian_ridge,0.40990068926941114,0.591852986622833,17
base+C1Q1C2,bayesian_ridge,0.3121771665574654,0.6389834123351263,3
+E_low+E_high,bayesian_ridge,0.30517980090637675,0.6422254437326986,5
+is_new+E+IR+T,rf,0.2910734707255227,0.6487119589414275,8
base+C1Q1C2,ridge,0.2827904129811428,0.6524907103590945,3
+E_low+E_high,ridge,0.28016497225409764,0.6536838837659632,5
+E_low+E_high,lasso,0.27655124938928,0.655322644731416,5
base+C1Q1C2,lasso,0.27634156501088547,0.6554176072052195,3
base+C1Q1C2,gbr,0.26947135158763225,0.6585214348072261,3
+E_low+E_high,gbr,0.2693447729620534,0.6585784833075891,5
+all,rf,0.26491231975977625,0.6605730660026848,17
+E_low+E_high,rf,0.2647382423208653,0.6606512771220121,5
base+C1Q1C2,rf,0.2647316650573346,0.6606542320341836,3
+is_new+E+IR+T,ridge,0.24394994236646972,0.6699255866580703,8
+all,ridge,0.1752424606579649,0.6997041293603448,17
+is_new+E+IR+T,gbr,0.0953161474935138,0.7328240424514986,8
+all,gbr,0.08206587671735344,0.7381711151645797,17
+is_new+E+IR+T,lasso,0.0567797793231809,0.7482691513935897,8
+all,lasso,-0.11302096461737698,0.8128360602046558,17
