pair,p,diff_median,p_bonf
3_6C-80PER_3_6C vs 3_7C_31PER_5_9C_NEWSTRUCTURE,0.1,8164.349157092807,1.0
3_6C-80PER_3_6C vs 4_8C_80PER_4_8C,0.1,7204.9683218785385,1.0
3_6C-80PER_3_6C vs 4_8C_80PER_4_8C_NEWSTRUCTURE,0.7142857142857142,-168.18052216516116,1.0
3_6C-80PER_3_6C vs 5C_67PER_4C_NEWSTRUCTURE,0.6666666666666666,2449.0104478512794,1.0
3_6C-80PER_3_6C vs 5_3C_54PER_4C_NEWSTRUCTURE,1.0,1960.8030003261047,1.0
3_6C-80PER_3_6C vs 5_6C_19PER_4_6C_NEWSTRUCTURE,0.3757575757575758,3212.1278426545578,1.0
3_6C-80PER_3_6C vs 5_6C_36PER_4_3C_NEWSTRUCTURE,0.7757575757575759,2649.805695948733,1.0
3_6C-80PER_3_6C vs 80PER_3_6C,0.4,3443.04621506857,1.0
3_7C_31PER_5_9C_NEWSTRUCTURE vs 4_8C_80PER_4_8C,0.1,-959.3808352142694,1.0
3_7C_31PER_5_9C_NEWSTRUCTURE vs 4_8C_80PER_4_8C_NEWSTRUCTURE,0.023809523809523808,-8332.529679257968,0.8571428571428571
3_7C_31PER_5_9C_NEWSTRUCTURE vs 5C_67PER_4C_NEWSTRUCTURE,0.016666666666666666,-5715.338709241529,0.6
3_7C_31PER_5_9C_NEWSTRUCTURE vs 5_3C_54PER_4C_NEWSTRUCTURE,0.012121212121212121,-6203.546156766703,0.43636363636363634
3_7C_31PER_5_9C_NEWSTRUCTURE vs 5_6C_19PER_4_6C_NEWSTRUCTURE,0.012121212121212121,-4952.2213144382495,0.43636363636363634
3_7C_31PER_5_9C_NEWSTRUCTURE vs 5_6C_36PER_4_3C_NEWSTRUCTURE,0.012121212121212121,-5514.543461144074,0.43636363636363634
3_7C_31PER_5_9C_NEWSTRUCTURE vs 80PER_3_6C,0.2,-4721.302942024238,1.0
4_8C_80PER_4_8C vs 4_8C_80PER_4_8C_NEWSTRUCTURE,0.023809523809523808,-7373.1488440437,0.8571428571428571
4_8C_80PER_4_8C vs 5C_67PER_4C_NEWSTRUCTURE,0.016666666666666666,-4755.957874027259,0.6
4_8C_80PER_4_8C vs 5_3C_54PER_4C_NEWSTRUCTURE,0.012121212121212121,-5244.165321552434,0.43636363636363634
4_8C_80PER_4_8C vs 5_6C_19PER_4_6C_NEWSTRUCTURE,0.012121212121212121,-3992.8404792239808,0.43636363636363634
4_8C_80PER_4_8C vs 5_6C_36PER_4_3C_NEWSTRUCTURE,0.012121212121212121,-4555.1626259298055,0.43636363636363634
4_8C_80PER_4_8C vs 80PER_3_6C,0.7,-3761.9221068099687,1.0
4_8C_80PER_4_8C_NEWSTRUCTURE vs 5C_67PER_4C_NEWSTRUCTURE,0.23426573426573427,2617.1909700164406,1.0
4_8C_80PER_4_8C_NEWSTRUCTURE vs 5_3C_54PER_4C_NEWSTRUCTURE,0.4135864135864136,2128.983522491266,1.0
4_8C_80PER_4_8C_NEWSTRUCTURE vs 5_6C_19PER_4_6C_NEWSTRUCTURE,0.08125208125208126,3380.308364819719,1.0
4_8C_80PER_4_8C_NEWSTRUCTURE vs 5_6C_36PER_4_3C_NEWSTRUCTURE,0.2823842823842824,2817.986218113894,1.0
4_8C_80PER_4_8C_NEWSTRUCTURE vs 80PER_3_6C,0.09523809523809523,3611.226737233731,1.0
5C_67PER_4C_NEWSTRUCTURE vs 5_3C_54PER_4C_NEWSTRUCTURE,0.8665112665112666,-488.20744752517476,1.0
5C_67PER_4C_NEWSTRUCTURE vs 5_6C_19PER_4_6C_NEWSTRUCTURE,0.151981351981352,763.1173948032783,1.0
5C_67PER_4C_NEWSTRUCTURE vs 5_6C_36PER_4_3C_NEWSTRUCTURE,0.46340326340326343,200.79524809745362,1.0
5C_67PER_4C_NEWSTRUCTURE vs 80PER_3_6C,0.18333333333333335,994.0357672172904,1.0
5_3C_54PER_4C_NEWSTRUCTURE vs 5_6C_19PER_4_6C_NEWSTRUCTURE,0.04988344988344988,1251.324842328453,1.0
5_3C_54PER_4C_NEWSTRUCTURE vs 5_6C_36PER_4_3C_NEWSTRUCTURE,0.5053613053613053,689.0026956226284,1.0
5_3C_54PER_4C_NEWSTRUCTURE vs 80PER_3_6C,0.08484848484848484,1482.2432147424652,1.0
5_6C_19PER_4_6C_NEWSTRUCTURE vs 5_6C_36PER_4_3C_NEWSTRUCTURE,0.4418026418026417,-562.3221467058247,1.0
5_6C_19PER_4_6C_NEWSTRUCTURE vs 80PER_3_6C,0.9212121212121214,230.91837241401208,1.0
5_6C_36PER_4_3C_NEWSTRUCTURE vs 80PER_3_6C,0.496969696969697,793.2405191198368,1.0
