battery_id,policy,C1,Q1,C2,mean_chargetime,t12_model,t3_est
1,3_6C-80PER_3_6C,3.6,80.0,3.6,13.4086513554808,13.333333333333334,0.07531802214746541
2,3_6C-80PER_3_6C,3.6,80.0,3.6,13.3700453282399,13.333333333333334,0.0367119949065664
3,3_6C-80PER_3_6C,3.6,80.0,3.6,13.3673534835601,13.333333333333334,0.03402015022676608
4,80PER_3_6C,3.6,80.0,3.6,13.7314586052367,13.333333333333334,0.3981252719033659
5,80PER_3_6C,3.6,80.0,3.6,13.6804953856609,13.333333333333334,0.34716205232756536
6,80PER_3_6C,3.6,80.0,3.6,14.828321327044,13.333333333333334,1.4949879937106658
7,4_8C_80PER_4_8C,4.8,80.0,4.8,12.9231478085242,10.000000000000002,2.923147808524199
8,4_8C_80PER_4_8C,4.8,80.0,4.8,13.2409229226557,10.000000000000002,3.240922922655699
9,4_8C_80PER_4_8C,4.8,80.0,4.8,13.1452157864793,10.000000000000002,3.145215786479298
10,5C_67PER_4C_NEWSTRUCTURE,5.0,67.0,4.0,10.1554366633597,9.990000000000002,0.16543666335969753
11,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54.0,4.0,10.1429989124294,10.013207547169813,0.129791365259587
12,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19.0,4.6,10.1973217061611,9.992236024844722,0.20508568131637794
13,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36.0,4.3,10.1874366906044,9.996677740863788,0.19075894974061214
14,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19.0,4.6,10.2384849761222,9.992236024844722,0.2462489512774777
15,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36.0,4.3,10.1995672108021,9.996677740863788,0.20288946993831125
16,3_7C_31PER_5_9C_NEWSTRUCTURE,3.7,31.0,5.9,10.8382723823823,10.010077874484654,0.8281945078976456
17,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80.0,4.8,11.1726831852861,10.000000000000002,1.1726831852860986
18,5C_67PER_4C_NEWSTRUCTURE,5.0,67.0,4.0,10.182849490125,9.990000000000002,0.1928494901249973
19,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54.0,4.0,10.2038060613359,10.013207547169813,0.19059851416608709
20,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80.0,4.8,11.2108420194987,10.000000000000002,1.210842019498699
