C1,Q1,C2,near_policy,t_ch,slope,life,w_t0.5
3.1,70.0,3.1,3_6C-80PER_3_6C,15.711510714367313,4.386412272604159e-05,4559.534935854593,0.8988990333137682
3.1,70.0,3.35,3_6C-80PER_3_6C,15.567071619518973,4.8713889667356576e-05,4105.605226059807,0.8922161024179968
3.1,70.0,3.6,3_6C-80PER_3_6C,15.442693510066237,5.4099863374551056e-05,3696.8670071370525,0.890182718214547
3.1,70.0,3.85,3_6C-80PER_3_6C,15.334468401841129,6.008132869558866e-05,3328.821188581413,0.8923967996232804
3.1,70.0,4.1,3_6C-80PER_3_6C,15.239441477545911,6.672412521332584e-05,2997.416591983388,0.8986189756508438
3.1,75.0,3.1,3_6C-80PER_3_6C,15.711510714367314,3.6029669026265326e-05,5550.98077237961,0.8747998546627689
3.1,75.0,3.35,3_6C-80PER_3_6C,15.639291166943144,4.033768172282935e-05,4958.143142044002,0.8772509906363882
3.1,75.0,3.6,3_6C-80PER_3_6C,15.577102112216776,4.5160796941712615e-05,4428.619810632055,0.8827866818905132
3.1,75.0,3.85,3_6C-80PER_3_6C,15.522989558104221,5.0560604707640736e-05,3955.648892185341,0.8913041603323052
3.1,75.0,4.1,3_6C-80PER_3_6C,15.475476095956614,5.660605927086987e-05,3533.1906614972986,0.902794584295962
3.35,70.0,3.1,3_6C-80PER_3_6C,14.70043705042894,3.704078495301702e-05,5399.453609141448,0.7267026714487325
3.35,70.0,3.35,3_6C-80PER_3_6C,14.555997955580601,4.113614040939891e-05,4861.9048362228805,0.7176991323971827
3.35,70.0,3.6,3_6C-80PER_3_6C,14.431619846127864,4.568429232609856e-05,4377.872345540172,0.7130885656893022
3.35,70.0,3.85,3_6C-80PER_3_6C,14.323394737902756,5.073530342335108e-05,3942.028262473136,0.7124405225103041
3.35,70.0,4.1,3_6C-80PER_3_6C,14.228367813607539,5.634477152640456e-05,3549.5751350464707,0.7154841276987383
3.35,75.0,3.1,3_6C-80PER_3_6C,14.628217503004773,3.071722487825289e-05,6511.00484476368,0.6964505480279344
3.35,75.0,3.35,3_6C-80PER_3_6C,14.555997955580603,3.4390036712362664e-05,5815.637874213238,0.696947773792857
3.35,75.0,3.6,3_6C-80PER_3_6C,14.493808900854235,3.8502001068298294e-05,5194.535204682534,0.7002959287680354
3.35,75.0,3.85,3_6C-80PER_3_6C,14.43969634674168,4.310562674480492e-05,4639.765504026779,0.7063643105469367
3.35,75.0,4.1,3_6C-80PER_3_6C,14.392182884594073,4.825970093778726e-05,4144.244496206573,0.7151128030866852
3.6,70.0,3.1,3_6C-80PER_3_6C,13.829790284259785,3.127885991257032e-05,6394.094943327016,0.5787723007858946
3.6,70.0,3.35,3_6C-80PER_3_6C,13.685351189411445,3.4737157294087236e-05,5757.523516008689,0.5678091386456703
3.6,70.0,3.6,3_6C-80PER_3_6C,13.560973079958709,3.857781582343487e-05,5184.326684418094,0.5610222862400794
3.6,70.0,3.85,3_6C-80PER_3_6C,13.4527479717336,4.2843110652585926e-05,4668.195118272263,0.5579573397976777
3.6,70.0,4.1,3_6C-80PER_3_6C,13.357721047438384,4.757999101843114e-05,4203.447619872935,0.558316820658687
3.6,75.0,3.1,3_6C-80PER_3_6C,13.695381682109247,2.618808137075368e-05,7637.061958397456,0.5430118193172845
3.6,75.0,3.35,3_6C-80PER_3_6C,13.623162134685078,2.9319350407991148e-05,6821.433531675003,0.5418432318539843
3.6,75.0,3.6,3_6C-80PER_3_6C,13.56097307995871,3.28250205189366e-05,6092.913175320667,0.5433263948482275
3.6,75.0,3.85,3_6C-80PER_3_6C,13.506860525846156,3.674985827022058e-05,5442.197859088493,0.5473067903931239
3.6,75.0,4.1,3_6C-80PER_3_6C,13.459347063698548,4.1143982898721204e-05,4860.978104436656,0.5537176393623043
3.85,70.0,3.1,3_6C-80PER_3_6C,13.072214526684029,2.641323823647833e-05,7571.960628583114,0.45050892645204454
3.85,70.0,3.35,3_6C-80PER_3_6C,12.92777543183569,2.9333575898590045e-05,6818.125437260899,0.43789097281240047
3.85,70.0,3.6,3_6C-80PER_3_6C,12.803397322382953,3.257679604805123e-05,6139.339169665342,0.4292663695180325
3.85,70.0,3.85,3_6C-80PER_3_6C,12.695172214157845,3.617859767336917e-05,5528.130244451645,0.4241604841837008
3.85,70.0,4.1,3_6C-80PER_3_6C,12.600145289862628,4.017862676491815e-05,4977.770922092077,0.42225337299133064
3.85,75.0,3.1,3_6C-80PER_3_6C,12.88369337042094,2.2326743662535634e-05,8957.8669878134,0.40974506832373436
3.85,75.0,3.35,3_6C-80PER_3_6C,12.811473822996769,2.499631842607329e-05,8001.178277173129,0.40715628575680435
3.85,75.0,3.6,3_6C-80PER_3_6C,12.749284768270401,2.79850901816057e-05,7146.662694389238,0.407049443080089
3.85,75.0,3.85,3_6C-80PER_3_6C,12.695172214157846,3.133122482772074e-05,6383.408280388937,0.40924971839557445
3.85,75.0,4.1,3_6C-80PER_3_6C,12.647658752010239,3.5077451701421116e-05,5701.668459339573,0.41366760086844917
4.1,70.0,3.1,3_6C-80PER_3_6C,12.40702605661751,2.2304494348164727e-05,8966.80269357716,0.33839038994394854
4.1,70.0,3.35,3_6C-80PER_3_6C,12.262586961769172,2.477055527928318e-05,8074.102406871344,0.3243750579398741
