match_id,group_id,team_a,team_b,updated_p_team_a_advance,updated_p_team_b_advance,updated_expected_attendance,updated_expected_tv_viewers,stakeless_risk,collusion_risk,updated_attractiveness,recommended_broadcast_priority,recommended_security_level,recommended_transport_level,recommended_ticket_adjustment,updated_ticket_revenue_usd,updated_broadcast_value_usd,resource_cost_index,risk_exposure_index,static_net_value,dynamic_net_value,improvement_rate
GA05,A,Mexico,Czechia,0.8522,0.5821,49395.0,138.4854,0.2616,0.1746,0.604,3,2,2,-0.15,4618415.23,7201240.34,13,0.2457,0.212271,0.259121,0.2207
GA06,A,South Africa,South Korea,0.5632,0.8054,55240.0,142.1296,0.1945,0.1639,0.5961,3,2,3,-0.15,5164905.5,7390737.27,16,0.2217,0.263112,0.314316,0.1946
GB05,B,Canada,Switzerland,0.4427,0.8658,60633.0,164.6576,0.2741,0.1113,0.6481,3,3,3,-0.15,5669187.1,8562193.81,19,0.2228,0.377051,0.442182,0.1727
GB06,B,Bosnia and Herzegovina,Qatar,0.7919,0.6735,59855.0,146.0225,0.2306,0.2078,0.63,3,3,3,-0.15,5596405.31,7593168.1,19,0.2396,0.292049,0.348844,0.1945
GC05,C,Brazil,Scotland,0.9588,0.322,48991.0,145.883,0.4842,0.0788,0.5576,3,2,2,-0.15,4580644.83,7585915.69,13,0.2986,0.187974,0.237621,0.2641
GC06,C,Morocco,Haiti,0.9522,0.3284,41552.0,121.2427,0.4679,0.0725,0.5014,2,1,1,-0.15,3885116.76,6304618.21,5,0.2872,0.087468,0.116142,0.3278
GD05,D,United States,Turkey,0.7086,0.6557,64583.0,174.898,0.1355,0.1888,0.7088,3,3,3,-0.0477,6765183.09,9094696.93,19,0.2121,0.534687,0.595522,0.1138
GD06,D,Paraguay,Australia,0.7139,0.7254,53500.0,162.2164,0.1931,0.2122,0.6652,3,3,1,-0.017,5784854.02,8435253.81,14,0.2455,0.419372,0.458681,0.0937
GE05,E,Germany,Ecuador,0.7662,0.6616,71921.0,177.9356,0.194,0.2082,0.7058,3,3,3,-0.1142,7007874.38,9252649.48,19,0.2383,0.53374,0.609783,0.1425
GE06,E,Curacao,Ivory Coast,0.4022,0.8842,56315.0,135.183,0.3144,0.0995,0.5683,3,2,3,-0.15,5265409.13,7029513.96,16,0.2362,0.228866,0.278143,0.2153
GF05,F,Netherlands,Tunisia,0.952,0.2516,38188.0,133.0182,0.5321,0.0649,0.5095,3,2,1,-0.15,3570535.97,6916945.16,11,0.3097,0.054964,0.094838,0.7254
GF06,F,Japan,Sweden,0.782,0.6832,66312.0,175.849,0.2262,0.2109,0.6764,3,4,3,-0.15,6200154.48,9144145.97,23,0.2246,0.441078,0.51572,0.1692
GG05,G,Belgium,New Zealand,0.9765,0.1664,41146.0,122.8288,0.6767,0.0374,0.4604,3,2,1,-0.15,3847190.12,6387098.07,11,0.3486,0.001989,0.038849,18.5278
GG06,G,Egypt,Iran,0.7297,0.7406,68587.0,157.6259,0.2213,0.2251,0.6601,3,3,3,-0.15,6412927.99,8196546.37,19,0.2498,0.393308,0.462426,0.1757
GH05,H,Spain,Uruguay,0.7554,0.5879,76396.0,192.1815,0.146,0.1897,0.7266,3,4,3,-0.15,7143048.08,9993436.88,23,0.1916,0.600297,0.690375,0.1501
GH06,H,Cape Verde,Saudi Arabia,0.6016,0.7883,56133.0,139.8298,0.1869,0.1942,0.6105,3,3,3,-0.15,5248415.64,7271150.2,19,0.2165,0.253932,0.304963,0.201
GI05,I,France,Norway,0.9024,0.421,59152.0,153.7361,0.3363,0.1359,0.6126,3,3,3,-0.15,5530690.41,7994279.11,19,0.2524,0.3005,0.359859,0.1975
GI06,I,Senegal,Iraq,0.8842,0.3928,48179.0,138.9723,0.3181,0.1101,0.5571,3,2,2,-0.15,4504722.09,7226558.03,13,0.238,0.195428,0.241742,0.237
GJ05,J,Argentina,Jordan,0.9591,0.21,36316.0,115.4121,0.5897,0.0554,0.4695,2,1,1,-0.15,3395516.24,6001429.41,5,0.3323,-0.008757,0.01677,2.9151
GJ06,J,Algeria,Austria,0.5863,0.8165,55019.0,160.3835,0.2152,0.2063,0.6111,3,3,3,-0.15,5144308.78,8339939.48,19,0.2293,0.309277,0.367796,0.1892
GK05,K,Portugal,Colombia,0.6902,0.6793,70035.0,182.5751,0.1367,0.2252,0.7435,3,3,3,-0.1244,6745297.56,9493905.34,19,0.224,0.549372,0.627041,0.1414
GK06,K,DR Congo,Uzbekistan,0.6374,0.6822,53464.0,144.0833,0.1041,0.1879,0.6286,3,2,1,-0.1244,5149253.25,7492331.78,11,0.2074,0.317321,0.364551,0.1488
GL05,L,England,Panama,0.9724,0.159,32663.0,113.0959,0.6789,0.0386,0.4264,3,1,1,-0.15,3054030.42,5880988.02,9,0.3476,-0.092033,-0.062547,0.3204
GL06,L,Croatia,Ghana,0.8818,0.4544,49564.0,142.9783,0.2957,0.1545,0.5693,3,2,2,-0.15,4634263.11,7434871.86,13,0.2564,0.211413,0.260213,0.2308
