indicator_name,indicator_category,actual_schedule_value,optimized_schedule_value,absolute_difference,relative_improvement,preferred_direction,evaluation_result
场均使用场馆数,场馆利用,0.1667,0.2222,0.0556,0.3333,lower,实际更优
平均休息时间(小时),休息恢复,98.0,147.625,49.625,0.5064,higher,优化方案更优
跨时区场馆数,旅行负担,0.0,16.0,16.0,,lower,实际更优
场均承办场次,场馆利用率,6.0,4.5,-1.5,-0.25,target,接近目标
容量利用率,容量匹配,0.572,,,,higher,实际数据不可得，仅列优化值
黄金时段覆盖率,商业价值,0.3333,0.8056,0.4722,1.4167,higher,优化方案更优
场均预计转播观众(百万),商业价值,,164.6532,,,higher,实际数据不可得，仅列优化值
场均票务收入(USD),票务价值,,3970978.75,,,higher,实际数据不可得，仅列优化值
场均转播价值(USD),转播价值,,4.6289,,,higher,实际数据不可得，仅列优化值
公平性惩罚均值,资源公平,,0.6667,,,lower,实际数据不可得，仅列优化值
综合风险均值,执行风险,,0.425,,,lower,实际数据不可得，仅列优化值
